"IL","ToplamSandik","ToplamSecmen","KullanilanOy","GecerliOy","Turnout","GecerliOy.Orani","Oy.SP","Parti.Oran.SP","Oy.BTP","Parti.Oran.BTP","Oy.TKP","Parti.Oran.TKP","Oy.VP","Parti.Oran.VP","Oy.CHP","Parti.Oran.CHP","Oy.MHP","Parti.Oran.MHP","Oy.DSP","Parti.Oran.DSP","Oy.Bagimsiz","Parti.Oran.Bagimsiz","Oy.AKP","Parti.Oran.AKP","Oy.IYI","Parti.Oran.IYI","Oy.HDP","Parti.Oran.HDP","Oy.DP","Parti.Oran.DP","Oy.BBP","Parti.Oran.BBP"
"Kahramanmaras",2596,755248,656611,624585,0.869397866661017,0.951225306916881,13145,0.021045974527086,5412,0.00866495352914335,888,0.00142174403804126,1857,0.00297317418766061,170407,0.272832360687497,0,0,7628,0.0122129093718229,3026,0.00484481695846042,422222,0.676004066700289,0,0,0,0,0,0,0,0
"Mardin",1837,484657,390707,371334,0.806151566984486,0.9504155287722,4258,0.0114667657688227,615,0.00165619092245795,399,0.00107450435457028,154,0.00041472097895695,6781,0.018261188040955,0,0,760,0.00204667496108625,1273,0.00342818055981946,143060,0.385259631490787,4078,0.0109820269622496,208854,0.562442437266719,1102,0.00296767869357506,0,0
"Mugla",2389,726497,627276,603862,0.863425451171856,0.962673528080143,3335,0.00552278500717051,18753,0.0310551086175318,1406,0.00232834654275315,2100,0.0034776157466441,217476,0.360141886722463,0,0,5148,0.00852512660177325,161045,0.266691727580142,171621,0.284205662883242,0,0,0,0,22978,0.0380517402982801,0,0
"Mus",192,62279,48245,45796,0.774659194913213,0.949238263032439,486,0.0106122805485195,658,0.0143680670800943,39,0.000851602760066381,60,0.00131015809240982,386,0.00842868372783649,0,0,166,0.00362477072233383,12701,0.277338632194952,15919,0.347606777884531,0,0,15381,0.335859026989257,0,0,0,0
"Nevsehir",217,70906,60003,58212,0.846233040927425,0.970151492425379,1216,0.0208891637463066,45,0.000773036487322202,81,0.00139146567717996,0,0,0,0,19983,0.343279736136879,112,0.00192400192400192,0,0,30024,0.515769944341373,5980,0.102727959870817,0,0,0,0,771,0.0132446918161204
"Nigde",287,93626,77582,75490,0.82863734432743,0.973034982341265,857,0.0113524970194728,56,0.000741820108623659,51,0.000675586170353689,97,0.00128493840243741,11029,0.146098821035899,14019,0.185706716121341,56,0.000741820108623659,67,0.000887534772817592,28032,0.371333951516757,21226,0.281176314743675,0,0,0,0,0,0
"Ordu",2174,581656,497753,474901,0.855751509483269,0.954089679017505,124117,0.261353418923102,1473,0.00310169909096843,902,0.00189934323153668,1037,0.00218361300565802,73481,0.154729090905262,0,0,1788,0.0037649952305849,407,0.000857020726425087,270360,0.569297600973677,0,0,0,0,1336,0.00281321791278603,0,0
"Rize",216,67952,52109,48997,0.766850129503179,0.940279030493773,2715,0.0554115558095394,184,0.00375533195909954,155,0.00316345898728494,136,0.00277568014368227,6536,0.133395922199318,0,0,196,0.00400024491295385,0,0,35761,0.729861011898688,3314,0.067636794089434,0,0,0,0,0,0
"Sakarya",2431,717495,621122,594535,0.865681293946299,0.957195204806785,23108,0.0388673501139546,4245,0.00714003380793393,1137,0.00191241894926287,1392,0.00234132557376773,0,0,0,0,2621,0.00440848730520491,1593,0.00267940491308333,386700,0.650424281160907,164246,0.276259597836965,6147,0.0103391726307114,3346,0.00562792770820894,0,0
"Samsun",3486,971700,838085,800171,0.862493567973654,0.954761151911799,12323,0.01540045815207,13437,0.0167926605688034,1638,0.00204706244040336,1729,0.00216078813153688,0,0,0,0,4784,0.00597872204816221,168474,0.210547495472843,379036,0.473693747961373,213416,0.266712990098366,0,0,5334,0.00666607512644172,0,0
