IL,ToplamSandik,ToplamSecmen,KullanilanOy,GecerliOy,Parti,Oy,Turnout,GecerliOy.Orani,Parti.Oran
Çankiri,160,51963,43286,41849,CHP,1968,0.8330158,0.966802199,0.047026213
Çankiri,160,51963,43286,41849,AKP,16001,0.8330158,0.966802199,0.382350833
Çankiri,160,51963,43286,41849,MHP,19665,0.8330158,0.966802199,0.469903701
Çankiri,160,51963,43286,41849,IYI,3579,0.8330158,0.966802199,0.085521757
Çankiri,160,51963,43286,41849,DSP,64,0.8330158,0.966802199,0.001529308
Çorum,542,180368,152048,147564,SP,1724,0.84298767,0.970509313,0.011683066
Çorum,542,180368,152048,147564,BTP,139,0.84298767,0.970509313,0.000941964
Çorum,542,180368,152048,147564,TKP,110,0.84298767,0.970509313,0.000745439
Çorum,542,180368,152048,147564,VP,124,0.84298767,0.970509313,0.000840313
Çorum,542,180368,152048,147564,CHP,54196,0.84298767,0.970509313,0.36727115
Çorum,542,180368,152048,147564,AKP,63866,0.84298767,0.970509313,0.432802038
Çorum,542,180368,152048,147564,MHP,24141,0.84298767,0.970509313,0.163596812
Çorum,542,180368,152048,147564,IYI,2797,0.84298767,0.970509313,0.018954488
