Il,Ilce,ToplamSandik,ToplamSecmen,KullanilanOy,GecerliOy,Parti,Oy,Turnout,GecerliOy.Orani,Parti.Oran
ADANA,Tufanbeyli,61,13083,11864,11130,BTP,20,0.906825652,0.938132165,0.001796945
ADANA,Tufanbeyli,61,13083,11864,11130,VP,27,0.906825652,0.938132165,0.002425876
ADANA,Tufanbeyli,61,13083,11864,11130,BBP,61,0.906825652,0.938132165,0.005480683
ADANA,Tufanbeyli,61,13083,11864,11130,CHP,5455,0.906825652,0.938132165,0.490116801
ADANA,Tufanbeyli,61,13083,11864,11130,AKP,5500,0.906825652,0.938132165,0.494159928
ADANA,Tufanbeyli,61,13083,11864,11130,DSP,12,0.906825652,0.938132165,0.001078167
ADANA,Yumurtalik,53,14343,13114,12595,SP,87,0.914313602,0.960423974,0.006907503
ADANA,Yumurtalik,53,14343,13114,12595,BTP,5,0.914313602,0.960423974,0.000396983
ADANA,Yumurtalik,53,14343,13114,12595,VP,6,0.914313602,0.960423974,0.00047638
ADANA,Yumurtalik,53,14343,13114,12595,BBP,41,0.914313602,0.960423974,0.00325526
ADANA,Yumurtalik,53,14343,13114,12595,CHP,5693,0.914313602,0.960423974,0.452004764
ADANA,Yumurtalik,53,14343,13114,12595,DP,61,0.914313602,0.960423974,0.004843192
ADANA,Yumurtalik,53,14343,13114,12595,MHP,6244,0.914313602,0.960423974,0.495752283
ADANA,Yumurtalik,53,14343,13114,12595,IYI,451,0.914313602,0.960423974,0.03580786
ADANA,Yumurtalik,53,14343,13114,12595,DSP,7,0.914313602,0.960423974,0.000555776
ADANA,Yüregir,843,272364,221930,211614,SP,4447,0.814828685,0.953516875,0.021014678
ADANA,Yüregir,843,272364,221930,211614,BTP,345,0.814828685,0.953516875,0.001630327
ADANA,Yüregir,843,272364,221930,211614,VP,419,0.814828685,0.953516875,0.00198002
ADANA,Yüregir,843,272364,221930,211614,BBP,2067,0.814828685,0.953516875,0.009767785
ADANA,Yüregir,843,272364,221930,211614,CHP,99988,0.814828685,0.953516875,0.472501819
ADANA,Yüregir,843,272364,221930,211614,AKP,103645,0.814828685,0.953516875,0.489783285
ADANA,Yüregir,843,272364,221930,211614,DSP,703,0.814828685,0.953516875,0.003322086
ADANA,Aladag,55,12670,11957,11425,SP,85,0.943725335,0.955507234,0.007439825
ADANA,Aladag,55,12670,11957,11425,BTP,35,0.943725335,0.955507234,0.003063457
ADANA,Aladag,55,12670,11957,11425,BBP,49,0.943725335,0.955507234,0.00428884
ADANA,Aladag,55,12670,11957,11425,AKP,6161,0.943725335,0.955507234,0.539256018
ADANA,Aladag,55,12670,11957,11425,IYI,5016,0.943725335,0.955507234,0.439037199
ADANA,Aladag,55,12670,11957,11425,DSP,32,0.943725335,0.955507234,0.002800875
ADANA,Aladag,55,12670,11957,11425,Bagimsiz,47,0.943725335,0.955507234,0.004113786
ADANA,Imamoglu,69,20534,18624,17718,SP,228,0.906983539,0.951353093,0.01286827
ADANA,Imamoglu,69,20534,18624,17718,BTP,16,0.906983539,0.951353093,0.000903036
ADANA,Imamoglu,69,20534,18624,17718,VP,19,0.906983539,0.951353093,0.001072356
ADANA,Imamoglu,69,20534,18624,17718,BBP,41,0.906983539,0.951353093,0.002314031
ADANA,Imamoglu,69,20534,18624,17718,CHP,7221,0.906983539,0.951353093,0.407551642
ADANA,Imamoglu,69,20534,18624,17718,DP,3301,0.906983539,0.951353093,0.18630771
ADANA,Imamoglu,69,20534,18624,17718,MHP,6804,0.906983539,0.951353093,0.384016255
ADANA,Imamoglu,69,20534,18624,17718,DSP,88,0.906983539,0.951353093,0.004966701
ADANA,Sariçam,362,113127,97094,93310,SP,984,0.858274329,0.961027458,0.010545494
ADANA,Sariçam,362,113127,97094,93310,BTP,131,0.858274329,0.961027458,0.001403922
ADANA,Sariçam,362,113127,97094,93310,TKP,178,0.858274329,0.961027458,0.00190762
ADANA,Sariçam,362,113127,97094,93310,VP,219,0.858274329,0.961027458,0.002347015
ADANA,Sariçam,362,113127,97094,93310,BBP,417,0.858274329,0.961027458,0.004468974
ADANA,Sariçam,362,113127,97094,93310,MHP,57503,0.858274329,0.961027458,0.616257636
ADANA,Sariçam,362,113127,97094,93310,IYI,30702,0.858274329,0.961027458,0.329032258
ADANA,Sariçam,362,113127,97094,93310,HDP,1388,0.858274329,0.961027458,0.014875147
ADANA,Sariçam,362,113127,97094,93310,DSP,1788,0.858274329,0.961027458,0.019161933
ADANA,Çukurova,798,267788,219725,214961,SP,4050,0.82051847,0.978318352,0.018840627
ADANA,Çukurova,798,267788,219725,214961,BTP,274,0.82051847,0.978318352,0.00127465
ADANA,Çukurova,798,267788,219725,214961,VP,572,0.82051847,0.978318352,0.002660948
ADANA,Çukurova,798,267788,219725,214961,BBP,895,0.82051847,0.978318352,0.004163546
ADANA,Çukurova,798,267788,219725,214961,CHP,125467,0.82051847,0.978318352,0.583673317
ADANA,Çukurova,798,267788,219725,214961,DP,3214,0.82051847,0.978318352,0.014951549
ADANA,Çukurova,798,267788,219725,214961,MHP,78194,0.82051847,0.978318352,0.363759007
ADANA,Çukurova,798,267788,219725,214961,DSP,2295,0.82051847,0.978318352,0.010676355
ADIYAMAN,Merkez,485,159663,128635,123641,SP,34766,0.805665683,0.961176974,0.281185044
ADIYAMAN,Merkez,485,159663,128635,123641,BTP,256,0.805665683,0.961176974,0.002070511
ADIYAMAN,Merkez,485,159663,128635,123641,TKP,268,0.805665683,0.961176974,0.002167566
ADIYAMAN,Merkez,485,159663,128635,123641,VP,172,0.805665683,0.961176974,0.001391124
ADIYAMAN,Merkez,485,159663,128635,123641,AKP,65805,0.805665683,0.961176974,0.532226365
ADIYAMAN,Merkez,485,159663,128635,123641,MHP,6720,0.805665683,0.961176974,0.054350903
ADIYAMAN,Merkez,485,159663,128635,123641,IYI,14678,0.805665683,0.961176974,0.118714666
ADIYAMAN,Merkez,485,159663,128635,123641,DSP,331,0.805665683,0.961176974,0.002677105
ADIYAMAN,Merkez,485,159663,128635,123641,Bagimsiz,446,0.805665683,0.961176974,0.003607218
ADIYAMAN,Merkez,485,159663,128635,123641,Bagimsiz,136,0.805665683,0.961176974,0.001099959
ADIYAMAN,Merkez,485,159663,128635,123641,Bagimsiz,63,0.805665683,0.961176974,0.00050954
ADIYAMAN,Besni,70,21842,18496,17689,SP,5545,0.8468089,0.956368945,0.313471649
